,code,name,cf_sales,rateofreturn,cf_nm,cf_liabilities,cashflowratio
595,300529,健帆生物,0.1922,0.0334,0.5147,0.2145,30.7559
596,000628,高新发展,0.1919,0.0115,18.3977,0.0139,1.4504
597,603566,普莱柯,0.191,0.0144,0.5089,0.1356,15.8058
598,002100,天康生物,0.1903,0.0472,1.9026,0.1344,15.0896
599,002578,闽发铝业,0.1902,0.0313,8.6783,0.1395,16.6661
600,002234,民和股份,0.1902,0.0269,0.7929,0.0502,9.8434
601,300086,康芝药业,0.1901,0.0109,1.3869,0.0771,8.7907
602,002382,蓝帆医疗,0.1901,0.0412,1.3992,0.2257,23.363
603,600586,金晶科技,0.1899,0.0159,33.2793,0.0278,3.422
604,603866,桃李面包,0.1898,0.0576,1.5191,0.5453,56.2774
605,603708,家家悦,0.1891,,6.4689,,
606,002144,宏达高科,0.1889,0.0108,1.5533,0.055,6.8484
607,000507,珠海港,0.1889,0.0124,2.3024,0.0258,6.5219
608,002597,金禾实业,0.1887,0.0409,1.1532,0.1017,12.6643
609,002357,富临运业,0.1884,0.0206,1.8755,0.0333,4.9481
610,002541,鸿路钢构,0.1883,0.0176,3.7161,0.0273,2.7618
611,002708,光洋股份,0.1881,0.0093,1.7191,0.0296,4.3817
612,002701,奥瑞金,0.1881,0.0277,1.0497,0.0471,10.0571
613,002847,盐津铺子,0.188,,1.3864,,
614,000825,太钢不锈,0.1869,0.0289,,0.0409,8.2512
615,600074,*ST保千,0.1869,0.0316,0.8105,0.0583,5.826
616,002779,中坚科技,0.1859,0.0278,2.2285,0.1254,12.5393
617,600726,华电能源,0.1859,0.0203,0.9643,0.0247,4.2534
618,600636,三爱富,0.1855,0.0468,11.4672,0.1962,21.0382
619,600423,*ST柳化,0.1854,0.0212,,0.025,4.0132
620,603987,康德莱,0.1849,,1.7079,,
621,600200,江苏吴中,0.1844,0.0299,,0.049,5.836
622,603129,春风动力,0.1838,,2.8638,,
623,002031,巨轮智能,0.1836,0.0076,2.4745,0.0222,9.555
624,600959,江苏有线,0.1834,0.011,0.8375,0.0358,3.9104
625,601163,三角轮胎,0.1834,0.0316,1.8101,0.0461,7.3476
626,002508,老板电器,0.1829,0.0354,1.1399,0.0986,9.9055
627,300441,鲍斯股份,0.1824,0.0194,1.9462,0.0624,6.6216
628,300562,乐心医疗,0.1818,,1.7932,,
629,603779,威龙股份,0.1818,0.0268,3.1539,0.0453,4.6073
630,601579,会稽山,0.1811,0.0197,0.8216,0.056,6.0264
631,000962,东方钽业,0.181,0.0109,,0.02,2.5669
632,601388,怡球资源,0.1807,0.0341,,0.0849,9.8041
633,603218,日月股份,0.1807,,0.9635,,
634,300507,苏奥传感,0.1806,0.0543,1.0824,0.2781,29.9809
635,603757,大元泵业,0.1806,,1.4006,,
636,000063,中兴通讯,0.1805,0.0292,3.7181,0.043,4.8394
637,000920,南方汇通,0.1803,0.0255,1.1136,0.0715,9.7839
638,300009,安科生物,0.1803,0.0214,0.8833,0.1541,18.6182
639,000915,山大华特,0.18,0.0275,0.719,0.1461,14.9663
640,002420,毅昌股份,0.1797,0.0494,,0.0833,8.9022
641,603997,继峰股份,0.1794,0.0331,0.9098,0.2459,24.594
642,000099,中信海直,0.1793,0.0093,2.3329,0.0228,7.3386
643,002174,游族网络,0.1791,0.0267,0.7013,0.1109,19.9787
644,603703,盛洋科技,0.179,0.0204,2.7586,0.0763,7.6448
645,002801,微光股份,0.1789,0.0289,0.7863,0.1694,16.9415
646,000611,天首发展,0.1789,0.0028,,0.0051,0.5111
647,603601,再升科技,0.1789,0.0276,0.7241,0.1177,14.9033
