,code,name,mbrg,nprg,nav,targ,epsg,seg
578,603013,亚普股份,24.2632,67.5028,,,77.7778,
579,600775,南京熊猫,20.5979,67.334,2.1245,8.6655,147.8632,1.7737
580,300212,易华录,3.8427,67.1468,17.8689,26.1953,46.1644,9.6598
581,603676,卫信康,98.2699,67.07,,,33.3333,
582,300182,捷成股份,85.446,66.9746,9.5465,18.8001,60.0,10.2671
583,603638,艾迪精密,55.9278,66.7086,13.8378,18.0799,52.6316,13.8378
584,300488,恒锋工具,50.4422,66.6351,11.8681,16.9828,0.0,11.7976
585,300103,达刚路机,30.1084,66.2701,4.1978,3.9175,66.1765,4.1978
586,601877,正泰电器,27.988,66.1217,12.1499,11.5311,55.5556,13.3712
587,300285,国瓷材料,53.7207,65.9785,16.1541,28.5676,-13.3333,14.1876
588,600603,广汇物流,130.0892,65.5498,39.5194,48.6763,-8.3333,38.7487
589,300668,杰恩设计,27.4229,65.395,184.69,99.1054,24.2424,184.69
590,603359,东珠生态,51.9199,65.1004,96.7291,67.4031,23.0769,95.5293
591,300036,超图软件,23.894,65.0264,11.3223,18.9872,40.0,11.9366
592,300128,锦富技术,6.8179,64.7944,5.5686,21.8412,-14.2857,3.7225
593,300365,恒华科技,60.289,64.7652,108.9822,95.5725,44.3804,115.1033
594,600711,盛屯矿业,81.6019,64.7641,50.5734,17.0249,63.4921,50.6189
595,603357,设计总院,41.9715,64.7317,123.0119,83.148,25.0,123.0119
596,002019,亿帆医药,44.616,64.2576,73.4106,33.4638,50.0,82.4068
597,002644,佛慈制药,41.4236,64.0196,5.9222,11.95,64.1509,5.9222
598,002255,海陆重工,141.2645,63.9059,40.9903,95.8271,30.303,37.1332
599,000676,智度股份,77.2183,63.8024,9.9737,6.9595,63.7293,9.9656
600,603103,横店影视,39.9141,63.7533,,,44.8276,
601,300087,荃银高科,34.5896,63.5146,13.283,6.0434,70.2381,11.7617
602,002491,通鼎互联,22.5268,63.4713,14.874,11.8614,65.625,15.1806
603,002221,东华能源,55.453,63.2053,16.4601,7.4871,58.4084,16.0087
604,603387,基蛋生物,55.2843,62.9981,216.9169,196.273,21.9512,218.0597
605,600741,华域汽车,18.3702,62.9302,10.5627,17.5285,90.3093,11.0741
606,300020,银江股份,36.7704,62.8012,5.79,10.4718,60.0,5.2449
607,603618,杭电股份,25.3501,62.496,-4.2421,34.6928,133.3333,-6.7969
608,600267,海正药业,3.0572,62.4865,-1.3657,2.9019,57.1429,-0.3817
609,603659,璞泰来,41.7983,62.4673,149.2507,132.3802,36.3636,139.0778
610,600293,三峡新材,5.501,62.3064,11.9769,10.3933,8.156,11.9108
611,300131,英唐智控,101.631,62.038,6.2138,40.1985,11.6505,0.8828
612,300631,久吾高科,8.6737,61.8239,6.273,5.7294,-45.0549,6.0007
613,600458,时代新材,3.7513,61.8063,1.612,12.2538,33.3333,-0.0485
614,002290,中科新材,29.0022,61.7113,0.8556,38.8854,60.0,0.8556
615,600808,马钢股份,5.6027,61.4632,24.4401,3.0923,50.0,22.377
616,603688,石英股份,29.339,61.3597,8.7406,8.9828,7.6923,8.7406
617,000738,航发控制,-2.6185,61.3349,4.6224,3.8796,58.9342,4.394
618,002280,联络互动,2018.2436,61.2372,9.2263,0.461,66.6667,9.2688
619,600054,黄山旅游,-9.7861,61.2254,0.8841,-7.0687,66.88,0.8751
620,002742,三圣股份,65.1643,61.0678,21.0939,51.5808,-33.3333,11.5162
621,600976,健民集团,-14.9614,61.0229,7.3646,1.7985,58.3333,8.3984
622,002225,濮耐股份,54.6228,61.0012,2.7989,3.871,50.0,1.1941
623,002449,国星光电,25.7852,60.66,9.4753,4.8703,55.3309,9.9325
624,002003,伟星股份,20.2611,60.5599,10.356,6.8091,50.0,8.6502
625,002768,国恩股份,75.3728,60.5494,109.963,65.058,57.1429,113.841
626,000002,万科A,65.8251,60.4339,20.5891,38.0615,28.5714,19.4907
627,300353,东土科技,34.3003,60.391,7.3651,12.7837,29.4118,7.2955
628,600566,济川药业,51.4511,60.316,24.8785,39.0145,60.7242,24.8785
629,000552,靖远煤电,9.4183,60.271,9.9095,1.9396,60.1179,9.9101
630,002640,跨境通,74.3833,60.2281,35.3656,70.002,54.5455,36.4935
631,300274,阳光电源,36.7591,60.2097,18.9144,37.6405,55.5556,17.8174
632,002311,海大集团,32.8155,60.0206,17.8058,23.8885,75.0,15.0179
633,600721,百花村,-25.3307,60.0085,-23.8787,-26.4982,60.2434,-23.9547
634,600309,万华化学,23.5746,59.7443,31.64,16.6999,35.4167,37.1255
635,002138,顺络电子,36.6963,59.5579,45.8126,17.5146,33.3333,43.9457
636,600111,北方稀土,56.5343,58.867,9.4855,20.4065,50.0,6.7099
637,600903,贵州燃气,42.0495,58.7697,,,0.0,
638,603679,华体科技,80.0716,58.695,,,18.2377,
639,600217,中再资环,41.195,58.6866,64.5528,30.8561,50.7143,63.7596
640,300746,汉嘉设计,70.9884,58.617,,,40.0,
641,002853,皮阿诺,73.8476,58.5502,15.4936,19.949,-55.5556,10.68
642,002466,天齐锂业,56.9165,58.419,61.6853,50.3632,41.4634,76.0636
643,002356,赫美集团,-19.6926,58.4015,15.979,20.2074,48.2,7.7004
