,code,name,roe,net_profit_ratio,gross_profit_rate,net_profits,eps,business_income,bips
1694,002289,宇顺电子,-7.84,-20.83,10.3724,-34.2762,-0.1223,164.4922,0.5869
1695,600385,山东金泰,-8.91,-293.82,91.2838,-5.2967,-0.0357,1.8027,0.0121
1696,600815,厦工股份,-10.75,-3.1,13.6657,-53.0922,-0.0553,1712.098,1.7853
1697,002477,雏鹰农牧,-11.55,-20.76,21.2081,-508.8024,-0.1622,2450.3342,0.7815
1698,300032,金龙机电,-12.54,-28.24,8.0465,-450.4591,-0.5608,1595.0695,1.9859
1699,600225,天津松江,-13.03,-22.43,32.8033,-187.438,-0.2003,835.4099,0.893
1700,600238,*ST椰岛,-18.16,-39.93,25.9432,-116.5147,-0.2599,291.7741,0.6509
1701,002072,凯瑞德,-19.18,-18.76,13.9659,-9.7797,-0.0555,52.1172,0.2961
1702,002248,华东数控,-19.64,-278.58,-34.6171,-111.7764,-0.3635,40.1225,0.1304
1703,000911,南宁糖业,-54.81,-29.8,2.7211,-496.0479,-1.5306,1664.2972,5.1354
1704,600306,商业城,-57.27,-12.02,16.8328,-54.3834,-0.3052,452.2773,2.5389
1705,600807,*ST天业,-60.61,-95.8,5.669,-638.7164,-0.722,666.6801,0.7536
1706,600423,*ST柳化,-150.34,-2.28,16.7682,-25.3268,-0.0634,1106.6033,2.771
1707,002306,*ST云网,-236.55,-27.28,43.3795,-10.717,-0.0133,39.2719,0.049
1708,600961,株冶集团,-385.66,-21.39,-0.3234,-1359.8598,-2.5781,6356.729,12.0516
1709,000428,华天酒店,,,,,,,
1710,300489,中飞股份,,,,,,,
1711,002806,华锋股份,,,21.46,13.8686,,242.0141,
1712,002277,友阿股份,,,21.933,208.3778,,3854.8069,
1713,600278,东方创业,,,5.1127,71.6902,,8435.5197,
1714,000553,沙隆达A,,,,,,,
1715,601969,海南矿业,,,9.1879,-205.9511,,779.5467,
1716,300556,丝路视觉,,,38.0571,33.5788,,294.965,
1717,600316,洪都航空,,,8.2276,-48.9329,,392.2444,
1718,300575,中旗股份,,,,,,,
1719,002346,柘中股份,,,,,,,
1720,000677,恒天海龙,,,11.7563,2.0313,,334.3596,
1721,600372,中航电子,,,29.9545,148.3544,,2972.8493,
1722,600380,健康元,,,63.1721,425.7418,,5747.5999,
1723,600391,航发科技,,,13.8954,-46.8461,,890.6841,
1724,000722,湖南发展,,,43.9745,51.7894,,128.8986,
