,code,name,currentratio,quickratio,cashratio,icratio,sheqratio,adratio
826,002050,三花智控,2.239,1.794,33.1893,-18545.3612,63.8567,36.1433
827,002796,世嘉科技,1.3177,1.0136,46.2048,1429.184,63.8142,36.1858
828,002722,金轮股份,1.6054,1.111,26.179,702.409,63.7762,36.2238
829,300264,佳创视讯,2.1035,1.8772,25.9791,312.1964,63.7649,36.2351
830,002896,中大力德,1.5497,0.9954,11.8914,1573.7304,63.7428,36.2572
831,300632,光莆股份,1.9018,1.6786,53.4641,-1626.7735,63.687,36.313
832,300378,鼎捷软件,1.4051,1.3878,42.0498,-8346.8607,63.6739,36.3261
833,600486,扬农化工,1.6319,1.4942,69.073,-5484.0217,63.6374,36.3626
834,300255,常山药业,2.4236,1.4333,88.8369,828.1525,63.6135,36.3865
835,300436,广生堂,1.2086,1.0666,77.6875,3.1688,63.576,36.424
836,603960,克来机电,1.6633,1.138,58.8653,-3214.703,63.5437,36.4563
837,600343,航天动力,2.1202,1.4761,54.3339,812.9778,63.5342,36.4658
838,603933,睿能科技,2.5381,1.8494,20.2297,1868.8827,63.5076,36.4924
839,601689,拓普集团,1.7726,1.4495,32.5624,5471.9979,63.4416,36.5584
840,603009,北特科技,1.2748,0.9452,23.1828,477.0202,63.3488,36.6512
841,002768,国恩股份,1.9818,1.4395,46.737,1224.3117,63.3074,36.6926
842,300531,优博讯,2.2995,1.571,56.7997,-4081.6154,63.2997,36.7003
843,600761,安徽合力,2.1928,1.7154,36.6782,-3934.6706,63.2811,36.7189
844,300416,苏试试验,2.1441,1.6417,67.917,1052.2387,63.2551,36.7449
845,000812,陕西金叶,1.275,0.7764,41.0492,466.9718,63.2217,36.7783
846,300032,金龙机电,1.386,1.1011,31.3729,-1011.7977,63.1775,36.8225
847,300593,新雷能,2.6198,1.9576,31.6789,984.9532,63.1314,36.8686
848,603002,宏昌电子,1.9085,1.6353,43.3101,-5517.2929,63.1081,36.8919
849,600688,上海石化,1.5589,1.1269,87.2188,-2491.6857,63.084,36.916
850,002254,泰和新材,1.4654,1.1154,48.2121,-5255.3759,63.0421,36.9579
851,002189,利达光电,1.7587,1.6001,58.6454,9325.5318,62.9958,37.0042
852,002034,旺能环境,2.08,2.0723,159.8316,870.3889,62.937,37.063
853,000037,深南电A,1.4554,1.3931,69.2752,265.6148,62.8939,37.1061
854,300167,迪威迅,1.5791,1.2694,9.4942,-42.6052,62.779,37.221
855,603833,欧派家居,1.1847,0.9808,70.073,-30635.0046,62.7438,37.2562
856,600570,恒生电子,1.2716,1.2577,31.3785,18525.0546,62.7265,37.2735
857,603208,江山欧派,2.2297,1.8667,33.0399,2006.2047,62.7107,37.2893
858,002809,红墙股份,2.2008,2.0919,72.2749,-570.415,62.5974,37.4026
859,300400,劲拓股份,1.9634,1.4195,28.84,-4485.4924,62.5736,37.4264
860,603766,隆鑫通用,1.3071,1.1138,40.6107,-4446.5381,62.5601,37.4399
861,000430,张家界,0.6535,0.641,47.4599,2154.2154,62.5095,37.4905
862,002518,科士达,2.2825,1.7714,43.4783,-1782.4962,62.3409,37.6591
863,002601,龙蟒佰利,1.0189,0.8048,33.9306,2194.4208,62.2726,37.7274
864,603909,合诚股份,2.9708,2.9493,32.2322,713.2408,62.2555,37.7445
865,002470,金正大,1.8949,1.3218,68.3965,-8325.911,62.2382,37.7618
866,300412,迦南科技,1.9098,1.2316,22.7777,-8714.2046,62.2161,37.7839
867,002513,蓝丰生化,0.881,0.7246,16.2001,225.7353,62.187,37.813
