rank2018,rank2017,name,income,profit,code,market,note,note2
297,439,深圳市海王生物工程股份有限公司,24940,636,0000,,,
298,240,南京银行股份有限公司,24839,9668,0000,,,
299,274,广州发展集团股份有限公司,24798,679,0000,,,
300,283,超威动力控股有限公司,24654,455,0000,,,
301,270,龙源电力集团股份有限公司,24592,3688,0000,,,
302,285,四川蓝光发展股份有限公司,24553,1366,0000,,,
303,293,泰禾集团股份有限公司,24331,2124,0000,,,
304,267,云南白药集团股份有限公司,24315,3145,0000,,,
305,498,国电南瑞科技股份有限公司,24198,3241,0000,,,
306,--,洛阳栾川钼业集团股份有限公司,24148,2728,0000,,,
307,279,重庆农村商业银行股份有限公司,23970,8936,0000,,,
308,319,江苏长电科技股份有限公司,23856,343,0000,,,
309,246,国泰君安证券股份有限公司,23804,9882,0000,,,
310,275,保利协鑫能源控股有限公司,23794,1926,0000,,,
311,291,越秀地产股份有限公司,23794,2260,0000,,,
312,388,蓝思科技股份有限公司,23703,2047,0000,,,
313,288,中国机械设备工程股份有限公司,23682,1711,0000,,,
314,414,山西潞安环保能源开发股份有限公司,23544,2782,0000,,,
315,301,浙江正泰电器股份有限公司,23417,2840,0000,,,
316,381,瑞康医药股份有限公司,23294,1008,0000,,,
317,303,中联重科股份有限公司,23273,1332,0000,,,
318,334,金发科技股份有限公司,23137,548,0000,,,
319,368,时代中国控股有限公司,23110,2667,0000,,,
320,--,重药控股股份有限公司,23045,1106,0000,,,
321,--,新凤鸣集团股份有限公司,22963,1497,0000,,,
322,322,阿特斯太阳能有限公司,22891,672,0000,,,
323,429,立讯精密工业股份有限公司,22826,1691,0000,,,
324,272,中国航发动力股份有限公司,22555,960,0000,,,
325,289,徽商银行股份有限公司,22508,7615,0000,,,
326,342,北京三聚环保新材料股份有限公司,22478,2539,0000,,,
327,419,福建三钢闽光股份有限公司,22461,3990,0000,,,
328,432,永泰能源股份有限公司,22388,602,0000,,,
329,379,理文造纸有限公司,22385,4367,0000,,,
330,404,舜宇光学科技（集团）有限公司,22366,2902,0000,,,
331,262,中船海洋与防务装备股份有限公司,22313,88,0000,,,
332,318,恒力石化股份有限公司,22288,1719,0000,,,
333,--,卓尔集团股份有限公司,22249,2379,0000,,,
334,--,淄博齐翔腾达化工股份有限公司,22226,850,0000,,,
335,427,上海梅林正广和股份有限公司,22221,280,0000,,,
336,382,云南铝业股份有限公司,22130,657,0000,,,
337,361,内蒙古鄂尔多斯资源股份有限公司,22127,521,0000,,,
338,369,重庆小康工业集团股份有限公司,21934,725,0000,,,
339,434,禹洲地产股份有限公司,21701,2762,0000,,,
340,300,光明乳业股份有限公司,21672,617,0000,,,
341,--,天津广宇发展股份有限公司,21642,2172,0000,,,
342,294,广发证券股份有限公司,21576,8595,0000,,,
343,--,纳思达股份有限公司,21324,949,0000,,,
344,298,首创置业股份有限公司,21292,2017,0000,,,
345,351,华泰证券股份有限公司,21109,9277,0000,,,
346,343,烽火通信科技股份有限公司,21056,825,0000,,,
347,309,苏州金螳螂建筑装饰股份有限公司,20996,1919,0000,,,
